order_id,order_date,ChannelType,meta:_wc_order_attribution_utm_source,meta:_wc_order_attribution_source_type,Sessions,Orders,Order Total
54490,2025-09-24 14:27:32,SEO,google,organic,1,1,410.5
54491,2025-09-24 19:11:55,SEO,duckduckgo.com,referral,4,1,93
54492,2025-09-24 20:22:11,SEO,google,organic,14,1,483
54494,2025-09-25 10:34:40,Direct,(direct),typein,7,1,1462
54495,2025-09-25 15:21:49,Paid Search,google,utm,4,1,73
54496,2025-09-25 16:58:40,SEO,google,organic,6,1,153
54497,2025-09-25 19:03:39,SEO,google,organic,13,1,77.5
54498,2025-09-25 20:57:16,SEO,google,organic,5,1,321
54499,2025-09-26 23:06:42,Direct,(direct),typein,21,1,227
54500,2025-09-27 17:26:45,SEO,google,organic,6,1,313
54501,2025-09-27 20:03:37,SEO,google,organic,11,1,257
54502,2025-09-27 21:37:51,Direct,(direct),typein,5,1,80
54503,2025-09-28 9:14:27,SEO,google,organic,5,1,80
54504,2025-09-28 11:41:13,Paid Search,google,utm,9,1,111
54505,2025-09-28 16:47:06,Paid Search,google,utm,25,1,1497.25
54506,2025-09-28 17:05:44,Paid Search,google,utm,25,1,64
54507,2025-09-28 19:37:04,SEO,google,organic,22,1,1569
54508,2025-09-28 20:15:01,Paid Search,google,utm,9,1,169
